date,value
20190705,0
20190705,0
20190705,0
20190705,0
20190706,0
20190706,0
20190706,0
20190706,0
20190707,0
20190707,0
20190708,0
20190709,0
20190709,0
20190710,0
20190710,0
20190711,0
20190711,0
20190711,0
20190712,0
20190713,0
20190713,0
20190713,0
20190713,0
20190714,0
20190714,0
20190714,0
20190714,0
20190715,0
20190715,0
20190715,0
20190715,0
20190716,0
20190716,0
20190716,0
20190716,0
20190717,0
20190717,0
20190717,0
20190717,0
20190717,0
20190718,0
20190719,0
20190720,0
20190720,0
20190720,0
20190720,0
20190721,0
20190721,0
20190721,0
20190721,0
20190721,0
20190722,0
20190722,0
20190723,0
20190724,0
20190724,0
20190725,0
20190725,0
20190725,0
20190725,0
20190725,0
20190726,0
20190726,0
20190726,0
20190726,0
20190726,0
20190727,0
20190727,0
20190727,0
20190727,0
20190728,0
20190728,0
20190728,0
20190728,0
20190729,0
20190729,0
20190729,0
20190729,0
20190729,0
20190730,0
20190730,0
20190730,0
20190730,0
20190731,0
20190731,0
20190731,0
20190731,0
20190801,0
20190802,0
20190802,0
20190802,0
20190802,0
20190802,0
20190803,0
20190803,0
20190803,0
20190803,0
20190803,0
20190804,0
20190804,0
20190804,0
20190805,0
20190805,0
20190805,0
20190805,0
20190805,0
20190806,0
20190806,0
20190806,0
20190807,0
20190807,0
20190807,0
20190807,0
20190807,0
20190808,0
20190809,0
20190809,0
20190809,0
20190810,0
20190810,0
20190811,0
20190811,0
20190811,0
20190811,0
20190811,0
20190811,0
20190812,0
20190812,0
20190812,0
20190812,0
20190812,0
20190813,0
20190814,0
20190815,0
20190815,0
20190816,0
20190816,0
20190816,0
20190816,0
20190817,0
20190817,0
20190818,0
20190818,0
20190818,0
20190818,0
20190819,0
20190819,0
20190820,0
20190820,0
20190821,0
20190821,0
20190821,0
20190821,0
20190821,0
20190822,0
20190823,0
20190824,0
20190824,0
20190824,0
20190825,0
20190825,0
20190825,0
20190825,0
20190826,0
20190826,0
20190826,0
20190826,0
20190826,0
20190827,0
20190827,0
20190827,0
20190827,0
20190827,0
20190827,0
20190827,0
20190828,0
20190828,0
20190828,0
20190828,0
20190828,0
20190828,0
20190829,0
20190830,0
20190830,0
20190830,0
20190830,0
20190830,0
20190830,0
20190830,0
20190831,0
20190831,0
20190831,0
20190831,0
20190831,0
20190831,0
20190901,0
20190901,0
20190901,0
20190901,0
20190901,0
20190901,0
20190902,0
20190902,0
20190902,0
20190902,0
20190903,0
20190903,0
20190904,0
20190904,0
20190904,0
20190904,0
20190904,0
20190904,0
20190905,0
20190905,0
20190905,0
20190905,0
20190905,0
20190906,0
20190906,0
20190906,0
20190906,0
20190906,0
20190907,0
20190908,0
20190908,0
20190908,0
20190908,0
20190908,0
20190908,0
20190909,0
20190909,0
20190909,0
20190909,0
20190909,0
20190909,0
20190910,0
20190910,0
20190910,0
20190910,0
20190910,0
20190911,0
20190911,0
20190911,0
20190911,0
20190911,0
20190911,0
20190911,0
20190912,0
20190912,0
20190912,0
20190912,0
20190912,0
20190913,0
20190913,0
20190914,0
20190914,0
20190914,0
20190914,0
20190914,0
20190915,0
20190915,0
20190915,0
20190915,0
20190915,0
20190915,0
20190916,0
20190916,0
20190916,0
20190916,0
20190916,0
20190917,0
20190917,0
20190917,0
20190917,0
20190917,0
20190918,0
20190918,0
20190918,0
20190918,0
20190918,0
20190918,0
20190918,0
20190919,0
20190919,0
20190919,0
20190919,0
20190919,0
20190919,0
20190919,0
20190920,0
20190920,0
20190920,0
20190920,0
20190920,0
20190921,0
20190921,0
20190921,0
20190921,0
20190921,0
20190922,0
20190922,0
20190922,0
20190922,0
20190922,0
20190922,0
20190923,0
20190923,0
20190923,0
20190923,0
20190923,0
20190923,0
20190923,0
20190924,0
20190924,0
20190924,0
20190925,0
20190925,0
20190925,0
20190925,0
20190925,0
20190926,0
20190926,0
20190926,0
20190926,0
20190926,0
20190926,0
20190926,0
20190927,0
20190928,0
20190928,0
20190928,0
20190928,0
20190928,0
20190928,0
20190929,0
20190929,0
20190929,0
20190930,0
20190930,0
20190930,0
20190930,0
20190930,0
20190930,0
20191001,0
20191001,0
20191001,0
20191001,0
20191001,0
20191001,0
20191002,0
20191002,0
20191002,0
20191002,0
20191002,0
20191003,0
20191004,0
20191004,0
20191005,0
20191005,0
20191005,0
20191005,0
20191005,0
20191005,0
20191006,0
20191006,0
20191006,0
20191006,0
20191006,0
20191006,0
20191007,0
20191007,0
20191008,0
20191009,0
20191009,0
20191010,0
20191011,0
20191011,0
20191011,0
20191012,0
20191012,0
20191012,0
20191013,0
20191013,0
20191013,0
20191013,0
20191013,0
20191013,0
20191014,0
20191014,0
20191014,0
20191014,0
20191014,0
20191014,0
20191015,0
20191015,0
20191015,0
20191015,0
20191015,0
20191016,0
20191016,0
20191016,0
20191016,0
20191016,0
20191016,0
20191017,0
20191018,0
20191018,0
20191018,0
20191018,0
20191019,0
20191019,0
20191019,0
20191019,0
20191019,0
20191020,0
20191020,0
20191020,0
20191020,0
20191021,0
20191021,0
20191022,0
20191022,0
20191022,0
20191022,0
20191022,0
20191022,0
20191023,0
20191024,0
20191024,0
20191024,0
20191024,0
20191025,0
20191025,0
20191025,0
20191025,0
20191025,0
20191026,0
20191026,0
20191026,0
20191026,0
20191026,0
20191027,0
20191028,0
20191028,0
20191029,0
20191030,0
20191030,0
20191031,0
20191101,0
20191101,0
20191102,0
20191102,0
20191102,0
20191103,0
20191103,0
20191103,0
20191103,0
20191104,0
20191104,0
20191104,0
20191104,0
20191104,0
20191105,0
20191105,0
20191105,0
20191105,0
20191105,0
20191106,0
20191106,0
20191106,0
20191106,0
20191106,0
20191107,0
20191107,0
20191107,0
20191107,0
20191107,0
20191107,0
20191108,0
20191109,0
20191109,0
20191109,0
20191109,0
20191109,0
20191109,0
20191110,0
20191110,0
20191110,0
20191110,0
20191110,0
20191110,0
20191111,0
20191111,0
20191111,0
20191111,0
20191111,0
20191111,0
20191111,0
20191112,0
20191112,0
20191112,0
20191112,0
20191113,0
20191113,0
20191113,0
20191114,0
20191114,0
20191114,0
20191114,0
20191114,0
20191114,0
20191115,0
20191115,0
20191115,0
20191115,0
20191115,0
20191115,0
20191116,0
20191116,0
20191116,0
20191116,0
20191117,0
20191117,0
20191117,0
20191117,0
20191118,0
20191118,0
20191119,0
20191119,0
20191120,0
20191120,0
20191120,0
20191120,0
20191120,0
20191121,0
20191121,0
20191121,0
20191121,0
20191121,0
20191121,0
20191122,0
20191122,0
20191122,0
20191122,0
20191122,0
20191122,0
20191122,0
20191123,0
20191124,0
20191125,0
20191125,0
20191126,0
20191126,0
20191126,0
20191127,0
20191127,0
20191127,0
20191127,0
20191127,0
20191127,0
20191128,0
20191128,0
20191129,0
20191129,0
20191129,0
20191129,0
20191129,0
20191130,0
20191130,0
20191130,0
20191130,0
20191130,0
20191201,0
20191201,0
20191201,0
20191201,0
20191201,0
20191202,0
20191202,0
20191203,3
20191203,18
20191203,13
20191203,69
20191204,0
20191204,0
20191204,0
20191204,0
20191204,0
20191205,0
20191205,0
20191205,0
20191205,0
20191206,0
20191206,0
20191206,0
20191206,0
20191206,0
20191207,0
20191207,0
20191208,0
20191208,0
20191208,0
20191208,0
20191209,0
20191209,0
20191210,0
20191211,0
20191211,0
20191211,25
20191211,18
20191211,15
20191212,0
20191212,0
20191212,0
20191212,0
20191212,0
20191213,0
20191213,0
20191213,0
20191213,0
20191213,0
20191214,0
20191215,0
20191215,0
20191216,0
20191216,0
20191216,0
20191216,0
20191216,0
20191216,0
20191217,0
20191217,0
20191218,0
20191219,0
20191219,0
20191219,13
20191219,3
20191219,0
20191219,0
20191220,0
20191220,0
20191220,0
20191220,0
20191220,0
20191220,0
20191220,0
20191221,0
20191221,0
20191221,0
20191221,0
20191221,0
20191221,0
20191222,0
20191222,0
20191222,0
20191222,0
20191223,0
20191223,0
20191223,0
20191223,0
20191224,0
20191224,0
20191224,0
20191224,0
20191224,0
20191225,0
20191225,0
20191225,0
20191225,0
20191225,0
20191226,0
20191226,0
20191226,0
20191226,0
20191226,0
20191227,0
20191227,0
20191227,0
20191227,0
20191227,0
20191228,0
20191228,0
20191228,0
20191228,0
20191228,0
20191229,0
20191229,0
20191229,0
20191229,0
20191229,0
20191230,0
20191230,0
20191231,0
